date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
12/20/2022,5:26:22,Forgery,Kamakshipalya,13.0224,77.4102,Male,29.0,Male,61.0,Blunt Object,Major,Snow,23.0,Fraud
9/29/2022,0:08:06,Vandalism,Kamakshipalya,13.0726,77.5444,Female,42.0,Other,45.0,,Minor,Overcast,29.0,Assault
6/18/2020,8:52:44,Burglary,HSR Layout,13.0355,77.7351,Other,21.0,Female,58.0,Knife,Fatal,Overcast,17.0,Theft
12/20/2018,13:55:58,Robbery,Electronic City,13.1359,77.7127,Female,18.0,Female,65.0,Gun,Minor,Overcast,4.0,Burglary
4/4/2022,13:28:11,Fraud,Koramangala,12.8066,77.6143,Male,25.0,Male,50.0,,,Rain,38.0,Vandalism
11/3/2020,21:11:41,Assault,Whitefield,13.1435,77.6885,Other,52.0,Other,31.0,,Minor,Snow,20.0,Embezzlement
4/8/2021,4:34:19,Fraud,JP Nagar,13.1033,77.426,Female,28.0,Other,41.0,,Minor,Snow,29.0,Burglary
7/19/2019,16:20:37,Theft,Kamakshipalya,13.103,77.7723,Female,35.0,Male,25.0,Knife,Major,Clear,25.0,Robbery
9/17/2019,0:24:08,Theft,Jayanagar,12.9704,77.5332,Other,40.0,Other,64.0,Knife,Fatal,Clear,15.0,Embezzlement
10/2/2019,23:10:06,Robbery,Whitefield,13.1394,77.68,Male,19.0,Male,57.0,,,Partly Cloudy,1.0,Vandalism
2/15/2019,19:10:50,Vandalism,Indiranagar,13.188,77.6274,Female,50.0,Female,25.0,Blunt Object,,Snow,21.0,Theft
11/3/2021,19:18:57,Forgery,Yelahanka,13.0262,77.6425,Male,22.0,Female,25.0,Blunt Object,Minor,Rain,1.0,Drug Offense
4/28/2020,8:37:19,Fraud,Koramangala,13.0724,77.6828,Male,29.0,Male,31.0,Knife,Fatal,Snow,38.0,Vandalism
8/20/2020,17:35:47,Theft,Banashankari,13.0743,77.5141,Male,60.0,Male,30.0,,Minor,Rain,39.0,Vandalism
11/30/2018,17:29:32,Embezzlement,Kamakshipalya,13.1953,77.7215,Female,58.0,Female,20.0,,Fatal,Overcast,38.0,Fraud
6/20/2022,3:57:02,Vandalism,Indiranagar,12.8119,77.7198,Other,46.0,Other,36.0,Blunt Object,,Partly Cloudy,2.0,Vandalism
9/7/2022,17:29:08,Vandalism,Electronic City,13.0017,77.7348,Male,23.0,Female,49.0,Blunt Object,Major,Partly Cloudy,34.0,Theft
8/21/2018,6:39:01,Vandalism,JP Nagar,12.8528,77.6035,Other,50.0,Male,55.0,Knife,Fatal,Overcast,36.0,Vandalism
8/9/2020,14:30:37,Theft,Koramangala,12.8457,77.5319,Other,18.0,Female,45.0,,Fatal,Clear,1.0,Robbery
12/23/2021,5:15:47,Vandalism,Kamakshipalya,13.128,77.5307,Other,43.0,Female,56.0,Blunt Object,,Clear,19.0,Robbery
10/21/2018,15:43:39,Theft,Banashankari,12.8297,77.4151,Male,54.0,Male,22.0,Blunt Object,Minor,Snow,24.0,Theft
11/5/2021,14:42:06,Robbery,Banashankari,13.1622,77.6288,Male,25.0,Male,64.0,Blunt Object,Fatal,Overcast,29.0,Theft
1/4/2021,17:01:41,Fraud,Kamakshipalya,12.8774,77.4809,Female,47.0,Male,53.0,Gun,Minor,Rain,27.0,Embezzlement
2/27/2021,3:46:34,Theft,JP Nagar,13.0663,77.4566,Female,42.0,Male,64.0,,Major,Snow,1.0,Theft
2/13/2018,18:52:04,Fraud,HSR Layout,12.8641,77.4651,Male,34.0,Male,37.0,Blunt Object,Fatal,Overcast,31.0,Fraud
9/15/2018,13:25:57,Fraud,Kamakshipalya,13.1081,77.484,Other,52.0,Other,57.0,Gun,Minor,Clear,2.0,
4/12/2019,23:11:34,Vandalism,JP Nagar,12.8928,77.7794,Female,43.0,Female,27.0,Blunt Object,,Snow,10.0,Theft
12/5/2021,4:33:50,Robbery,Bellandur,12.8444,77.4921,Male,37.0,Male,58.0,Blunt Object,Minor,Overcast,7.0,Vandalism
3/18/2020,17:32:10,Theft,Indiranagar,12.893,77.6097,Female,31.0,Female,19.0,Knife,Minor,Clear,7.0,Robbery
12/21/2021,1:01:33,Robbery,Banashankari,12.9655,77.6345,Other,52.0,Female,38.0,Blunt Object,Fatal,Partly Cloudy,1.0,Embezzlement
9/15/2021,2:10:54,Theft,Yelahanka,13.1627,77.7063,Other,40.0,Female,25.0,Knife,Fatal,Rain,28.0,Burglary
10/17/2021,7:54:31,Vandalism,Banashankari,12.9493,77.6294,Female,39.0,Female,54.0,,Major,Snow,8.0,Embezzlement
12/29/2019,15:49:37,Forgery,JP Nagar,13.0229,77.7195,Other,56.0,Other,20.0,Blunt Object,Minor,Overcast,32.0,Assault
7/18/2019,20:28:43,Vandalism,Bellandur,12.9903,77.5259,Female,20.0,Male,34.0,,Major,Snow,37.0,Assault
1/1/2020,11:28:15,Vandalism,Bellandur,13.0836,77.5541,Female,49.0,Male,63.0,,Major,Clear,15.0,Embezzlement
2/1/2021,23:08:44,Embezzlement,Bellandur,12.9089,77.6502,Male,43.0,Male,35.0,Knife,,Rain,36.0,Fraud
9/14/2022,14:36:08,Theft,Indiranagar,13.006,77.7746,Female,41.0,Other,50.0,,,Overcast,27.0,Drug Offense
11/25/2019,18:49:40,Drug Offense,Indiranagar,12.8374,77.4239,Female,20.0,Other,23.0,Gun,,Partly Cloudy,37.0,Vandalism
6/20/2018,14:02:41,Fraud,Bellandur,13.007,77.5102,Female,36.0,Female,46.0,,Fatal,Partly Cloudy,39.0,
11/18/2018,21:18:46,Theft,Jayanagar,12.8594,77.7027,Other,40.0,Male,61.0,Gun,,Rain,14.0,Robbery
9/30/2022,0:25:26,Burglary,Bellandur,13.1325,77.7546,Other,35.0,Female,58.0,,Minor,Snow,25.0,Assault
1/20/2018,15:44:23,Theft,HSR Layout,13.0432,77.453,Other,24.0,Female,22.0,Knife,Fatal,Rain,6.0,Burglary
6/24/2018,21:14:04,Forgery,Banashankari,12.8804,77.6976,Female,25.0,Other,18.0,,,Partly Cloudy,2.0,
8/28/2021,13:07:05,Robbery,Banashankari,13.0925,77.7921,Female,63.0,Female,46.0,Blunt Object,Minor,Partly Cloudy,14.0,Burglary
11/15/2018,13:18:58,Fraud,Whitefield,13.058,77.5522,Other,28.0,Female,44.0,Gun,Minor,Overcast,19.0,Burglary
2/26/2020,19:18:03,Assault,Kamakshipalya,13.0785,77.7727,Female,29.0,Other,43.0,,Major,Partly Cloudy,13.0,Burglary
11/26/2018,5:03:43,Burglary,Indiranagar,12.8887,77.7896,Male,28.0,Female,19.0,,,Clear,34.0,Fraud
12/29/2019,17:24:39,Embezzlement,JP Nagar,13.0399,77.6179,Female,60.0,Female,57.0,Knife,,Overcast,19.0,Fraud
1/14/2022,14:52:45,Vandalism,Kamakshipalya,13.0471,77.5831,Female,30.0,Other,53.0,Gun,Fatal,Partly Cloudy,34.0,Assault
9/4/2019,16:38:09,Forgery,Electronic City,13.1948,77.5461,Other,52.0,Male,51.0,Blunt Object,,Clear,30.0,
9/22/2019,12:13:55,Embezzlement,HSR Layout,13.108,77.7146,Other,46.0,Male,55.0,Blunt Object,,Partly Cloudy,36.0,Burglary
3/21/2021,2:31:16,Drug Offense,JP Nagar,12.8064,77.5777,Male,59.0,Male,38.0,,,Snow,40.0,Fraud
12/8/2018,21:54:38,Assault,JP Nagar,13.0357,77.4247,Male,37.0,Male,21.0,Gun,,Partly Cloudy,14.0,Robbery
1/26/2019,12:28:39,Robbery,Yelahanka,12.807,77.4851,Male,45.0,Male,40.0,,Major,Clear,6.0,Embezzlement
5/21/2018,19:10:10,Embezzlement,Yelahanka,12.8246,77.4991,Female,30.0,Other,49.0,Blunt Object,Major,Rain,1.0,Forgery
5/22/2020,9:26:47,Burglary,JP Nagar,13.031,77.6469,Female,51.0,Male,23.0,Gun,,Rain,9.0,Theft
7/18/2022,9:07:27,Drug Offense,Jayanagar,12.8143,77.7795,Male,20.0,Other,64.0,Blunt Object,Fatal,Snow,16.0,Theft
3/1/2021,4:35:21,Drug Offense,Indiranagar,13.1557,77.7941,Female,21.0,Female,27.0,,Minor,Partly Cloudy,11.0,Theft
8/29/2018,9:31:53,Burglary,Electronic City,12.9424,77.5023,Other,38.0,Male,50.0,Knife,,Clear,0.0,Drug Offense
10/22/2020,5:36:43,Burglary,Jayanagar,13.1732,77.6145,Female,38.0,Male,21.0,Blunt Object,Fatal,Overcast,30.0,Theft
3/14/2019,6:42:34,Assault,Jayanagar,12.9616,77.6435,Male,27.0,Male,53.0,,Fatal,Rain,38.0,Robbery
3/25/2022,0:07:13,Robbery,Banashankari,12.8283,77.4209,Female,64.0,Male,60.0,Knife,Minor,Snow,37.0,Burglary
10/14/2020,2:11:22,Assault,Marathahalli,13.0588,77.5564,Other,45.0,Female,34.0,,Major,Clear,9.0,Vandalism
1/17/2022,8:54:41,Robbery,Kamakshipalya,13.1952,77.7379,Female,23.0,Male,36.0,Gun,Fatal,Overcast,29.0,Embezzlement
10/4/2018,16:54:51,Forgery,Koramangala,12.8681,77.7619,Male,43.0,Female,58.0,,Major,Clear,15.0,Forgery
6/6/2022,10:12:23,Vandalism,HSR Layout,12.8041,77.7839,Female,25.0,Other,28.0,Gun,Minor,Clear,24.0,Forgery
8/19/2018,14:53:53,Fraud,Indiranagar,12.9427,77.7308,Other,37.0,Female,45.0,Gun,Minor,Clear,13.0,Robbery
6/8/2019,6:38:39,Drug Offense,Electronic City,13.1118,77.5129,Male,44.0,Other,36.0,Gun,Minor,Overcast,17.0,Fraud
11/14/2018,2:43:29,Theft,Marathahalli,13.0043,77.687,Male,44.0,Male,51.0,Knife,,Rain,23.0,Theft
3/12/2022,15:57:58,Burglary,Whitefield,13.0007,77.6325,Female,25.0,Female,44.0,Blunt Object,Major,Partly Cloudy,12.0,Drug Offense
8/20/2022,6:47:23,Embezzlement,Indiranagar,13.0836,77.5867,Male,59.0,Other,47.0,Knife,Minor,Overcast,39.0,Assault
3/24/2018,1:11:29,Robbery,Kamakshipalya,13.1061,77.6991,Female,55.0,Other,56.0,Blunt Object,Minor,Overcast,14.0,Drug Offense
4/22/2021,5:42:52,Forgery,HSR Layout,12.9006,77.4492,Other,22.0,Other,64.0,Knife,Major,Rain,36.0,Forgery
11/24/2019,2:15:25,Assault,Jayanagar,12.9413,77.4624,Female,46.0,Other,32.0,Blunt Object,Minor,Snow,21.0,Forgery
1/23/2021,7:41:57,Robbery,HSR Layout,12.8912,77.6863,Male,19.0,Male,44.0,Gun,Major,Snow,22.0,Drug Offense
3/10/2018,12:34:40,Vandalism,Banashankari,13.103,77.4275,Male,53.0,Female,61.0,Gun,Minor,Clear,20.0,Robbery
3/31/2019,15:30:10,Forgery,Jayanagar,12.9138,77.7685,Female,45.0,Male,64.0,Knife,Minor,Partly Cloudy,32.0,Fraud
5/10/2022,16:16:51,Theft,JP Nagar,12.8634,77.6861,Female,54.0,Other,56.0,Blunt Object,Minor,Partly Cloudy,4.0,Burglary
10/27/2019,12:57:21,Theft,JP Nagar,12.9021,77.5464,Other,40.0,Other,52.0,Gun,,Partly Cloudy,23.0,Forgery
8/30/2021,11:32:55,Vandalism,Kamakshipalya,12.8065,77.501,Female,55.0,Other,57.0,,,Rain,37.0,Theft
9/30/2018,3:30:32,Drug Offense,Marathahalli,12.8666,77.7975,Female,50.0,Female,21.0,Knife,Fatal,Overcast,30.0,Vandalism
3/26/2019,0:20:44,Fraud,JP Nagar,13.0815,77.6536,Male,55.0,Male,24.0,Blunt Object,,Clear,1.0,Robbery
6/3/2018,10:49:24,Theft,Koramangala,12.983,77.4811,Male,64.0,Other,65.0,Knife,,Partly Cloudy,34.0,Fraud
5/16/2022,12:47:04,Embezzlement,Koramangala,12.9141,77.7391,Other,22.0,Male,54.0,Knife,,Partly Cloudy,21.0,
12/19/2022,9:00:51,Fraud,Yelahanka,13.0745,77.677,Female,34.0,Male,56.0,Gun,Fatal,Partly Cloudy,31.0,Drug Offense
11/9/2019,11:05:45,Robbery,Electronic City,12.9583,77.4235,Female,40.0,Male,51.0,Knife,Major,Overcast,30.0,Theft
3/21/2020,14:16:36,Robbery,Banashankari,13.1831,77.5733,Other,36.0,Male,57.0,Gun,Fatal,Snow,7.0,Vandalism
6/18/2021,3:20:59,Embezzlement,Marathahalli,13.112,77.574,Other,39.0,Male,43.0,Blunt Object,Major,Partly Cloudy,32.0,Theft
12/13/2022,0:46:05,Fraud,Yelahanka,13.0399,77.5726,Male,53.0,Other,62.0,Gun,Minor,Snow,1.0,Assault
12/17/2021,23:14:44,Vandalism,Yelahanka,13.1052,77.7429,Other,61.0,Female,37.0,Knife,,Rain,32.0,Vandalism
4/29/2018,23:24:49,Theft,Whitefield,13.0418,77.746,Other,23.0,Other,33.0,Gun,Minor,Snow,31.0,Forgery
2/18/2019,2:35:47,Fraud,Marathahalli,12.8172,77.7659,Male,32.0,Female,56.0,Gun,Minor,Rain,9.0,Fraud
3/27/2021,4:22:24,Burglary,Kamakshipalya,12.836,77.4045,Female,57.0,Female,30.0,,Major,Snow,30.0,Forgery
7/7/2019,12:29:18,Embezzlement,HSR Layout,13.1463,77.5409,Other,28.0,Female,28.0,Blunt Object,Major,Overcast,37.0,Embezzlement
9/13/2021,18:36:23,Theft,Indiranagar,13.1933,77.7372,Male,48.0,Female,58.0,Gun,Minor,Overcast,13.0,Fraud
8/12/2022,20:20:56,Burglary,Electronic City,12.8125,77.6135,Male,53.0,Female,63.0,Gun,,Rain,40.0,Fraud
11/17/2018,23:03:54,Robbery,JP Nagar,13.1367,77.4098,Female,47.0,Male,61.0,Blunt Object,Fatal,Rain,28.0,Vandalism
7/15/2019,17:47:45,Embezzlement,Banashankari,12.8948,77.6144,Male,62.0,Female,63.0,Gun,,Clear,10.0,Theft
5/6/2019,12:08:58,Robbery,Whitefield,12.9636,77.5845,Female,35.0,Female,37.0,Knife,Major,Overcast,30.0,Assault
10/16/2020,8:15:04,Drug Offense,Jayanagar,13.1919,77.5713,Other,35.0,Male,60.0,Blunt Object,Minor,Clear,34.0,Assault
1/2/2019,21:25:54,Vandalism,Indiranagar,13.0446,77.7807,Male,20.0,Other,19.0,Blunt Object,Major,Partly Cloudy,18.0,Burglary
9/22/2019,10:56:29,Robbery,Electronic City,13.1497,77.5389,Other,48.0,Male,36.0,Knife,Fatal,Snow,18.0,Assault
11/30/2021,12:27:33,Burglary,JP Nagar,13.027,77.41,Other,49.0,Female,60.0,Gun,Minor,Clear,4.0,Assault
3/27/2020,2:27:51,Robbery,Jayanagar,13.0023,77.7285,Male,51.0,Female,44.0,Blunt Object,Major,Clear,28.0,Robbery
12/18/2020,15:14:12,Drug Offense,Bellandur,13.042,77.632,Female,31.0,Female,55.0,,Minor,Snow,30.0,
12/10/2022,14:49:20,Fraud,Yelahanka,13.034,77.4359,Male,51.0,Female,27.0,,Fatal,Rain,3.0,Drug Offense
4/1/2020,4:19:31,Theft,Banashankari,13.1705,77.4949,Female,63.0,Other,45.0,Knife,Major,Snow,2.0,
11/19/2021,5:32:35,Fraud,Banashankari,13.102,77.449,Male,25.0,Other,22.0,Gun,Fatal,Snow,17.0,Burglary
4/21/2021,1:55:42,Vandalism,Yelahanka,12.9617,77.5416,Other,34.0,Other,31.0,,,Snow,15.0,Burglary
7/16/2019,2:54:08,Fraud,Banashankari,13.0713,77.4353,Female,54.0,Male,46.0,Gun,Minor,Clear,18.0,Robbery
6/4/2018,1:05:12,Fraud,Electronic City,12.818,77.5384,Female,21.0,Male,37.0,,,Rain,26.0,Vandalism
2/7/2020,9:58:49,Vandalism,JP Nagar,12.8532,77.7764,Female,19.0,Female,34.0,Gun,,Overcast,2.0,Theft
2/9/2018,12:50:23,Vandalism,Kamakshipalya,13.1167,77.5867,Other,47.0,Other,34.0,Gun,,Rain,11.0,Fraud
3/30/2020,20:02:09,Robbery,Marathahalli,12.8531,77.6181,Male,56.0,Male,43.0,Knife,Minor,Overcast,13.0,Drug Offense
8/20/2019,4:38:45,Theft,Banashankari,13.051,77.6253,Female,36.0,Male,37.0,Knife,,Rain,20.0,Fraud
10/18/2020,16:50:02,Forgery,Indiranagar,13.014,77.4015,Male,29.0,Male,31.0,Knife,,Partly Cloudy,0.0,Vandalism
7/28/2021,6:41:03,Vandalism,HSR Layout,13.1697,77.5835,Other,27.0,Female,19.0,Gun,Fatal,Clear,20.0,Assault
5/30/2020,3:26:24,Theft,Electronic City,12.8403,77.4094,Other,50.0,Other,58.0,Blunt Object,Fatal,Partly Cloudy,8.0,Embezzlement
6/2/2018,1:58:18,Robbery,Koramangala,13.071,77.5988,Female,60.0,Other,18.0,Gun,,Clear,22.0,Embezzlement
5/18/2022,21:19:13,Robbery,Koramangala,13.0284,77.5535,Male,51.0,Other,64.0,Blunt Object,Fatal,Snow,9.0,Fraud
11/5/2022,14:50:50,Forgery,Koramangala,13.1369,77.525,Female,52.0,Other,64.0,Blunt Object,,Snow,26.0,Drug Offense
8/9/2020,23:13:46,Embezzlement,Yelahanka,12.8308,77.7883,Female,41.0,Female,65.0,,Major,Rain,37.0,Theft
3/11/2019,6:54:51,Embezzlement,Yelahanka,12.9197,77.6002,Male,48.0,Female,52.0,Knife,Fatal,Clear,24.0,Embezzlement
12/4/2020,18:23:27,Vandalism,Banashankari,13.0505,77.5188,Female,55.0,Male,46.0,Blunt Object,Major,Partly Cloudy,30.0,Assault
6/16/2020,20:55:44,Assault,Banashankari,12.9366,77.6728,Female,56.0,Female,30.0,Knife,,Snow,35.0,Vandalism
2/24/2019,19:17:14,Burglary,Indiranagar,13.1692,77.4561,Other,49.0,Other,25.0,Blunt Object,Fatal,Clear,10.0,Drug Offense
12/30/2022,4:20:46,Robbery,HSR Layout,12.8651,77.7933,Male,23.0,Male,41.0,,,Snow,20.0,Drug Offense
12/24/2018,11:06:14,Vandalism,Bellandur,13.0337,77.7242,Other,33.0,Female,29.0,Blunt Object,,Partly Cloudy,22.0,Embezzlement
7/10/2021,12:44:38,Forgery,Whitefield,12.9832,77.6525,Female,45.0,Other,26.0,Blunt Object,Minor,Overcast,16.0,Robbery
8/20/2019,13:26:09,Assault,Yelahanka,12.9926,77.5775,Other,46.0,Male,53.0,Blunt Object,Major,Rain,22.0,Fraud
9/9/2019,11:26:08,Robbery,Yelahanka,13.1169,77.6077,Female,56.0,Other,56.0,Gun,Major,Clear,28.0,Embezzlement
10/11/2019,15:30:22,Forgery,Kamakshipalya,12.8251,77.7387,Female,27.0,Other,28.0,Gun,Minor,Clear,25.0,Embezzlement
4/30/2019,20:28:47,Fraud,JP Nagar,12.8302,77.7884,Other,49.0,Female,27.0,Gun,Fatal,Clear,40.0,Burglary
8/30/2021,5:15:21,Drug Offense,Kamakshipalya,13.1678,77.7504,Male,35.0,Male,46.0,Gun,Major,Snow,19.0,Vandalism
12/26/2021,4:38:51,Embezzlement,HSR Layout,12.8783,77.454,Male,18.0,Male,19.0,Blunt Object,Minor,Rain,16.0,
3/2/2020,18:30:48,Robbery,Marathahalli,12.955,77.4324,Female,63.0,Female,63.0,,Minor,Overcast,12.0,Assault
5/31/2021,12:42:53,Fraud,Koramangala,13.0775,77.6525,Female,63.0,Other,58.0,Blunt Object,,Partly Cloudy,29.0,Vandalism
12/9/2020,15:07:07,Fraud,Bellandur,13.0582,77.4945,Male,29.0,Male,60.0,Blunt Object,Minor,Overcast,22.0,Vandalism
2/12/2022,0:29:45,Embezzlement,Jayanagar,13.1616,77.732,Female,41.0,Other,43.0,Blunt Object,Fatal,Partly Cloudy,4.0,
10/9/2022,9:21:10,Assault,Banashankari,12.8356,77.4173,Male,20.0,Female,51.0,Gun,Major,Rain,22.0,Burglary
1/9/2018,12:07:37,Burglary,Koramangala,12.8765,77.4692,Female,23.0,Male,22.0,Knife,Minor,Clear,24.0,Burglary
10/30/2022,13:40:13,Fraud,Banashankari,12.9333,77.4049,Female,18.0,Other,20.0,Blunt Object,Fatal,Overcast,17.0,Fraud
3/4/2022,2:41:27,Drug Offense,HSR Layout,12.8322,77.5338,Male,35.0,Other,27.0,Knife,,Overcast,28.0,Fraud
8/3/2020,8:10:08,Robbery,Jayanagar,13.0711,77.5924,Male,35.0,Male,18.0,Gun,Major,Clear,21.0,Forgery
8/2/2021,18:01:33,Vandalism,Kamakshipalya,12.971,77.4655,Female,19.0,Female,65.0,Gun,,Rain,10.0,Embezzlement
8/18/2019,20:44:23,Assault,Bellandur,12.8715,77.4846,Other,62.0,Female,23.0,,Fatal,Overcast,33.0,Forgery
5/8/2021,0:47:31,Theft,Banashankari,12.8129,77.412,Other,34.0,Male,43.0,,Minor,Rain,18.0,Vandalism
11/5/2018,0:48:50,Burglary,Koramangala,12.9746,77.4412,Male,62.0,Other,33.0,Knife,Major,Partly Cloudy,35.0,Theft
7/29/2020,22:05:41,Assault,Yelahanka,12.9649,77.6689,Male,32.0,Male,24.0,,,Rain,33.0,Forgery
5/2/2021,15:46:21,Fraud,Yelahanka,12.8514,77.4986,Other,21.0,Male,25.0,,Fatal,Clear,9.0,
3/18/2019,21:59:53,Burglary,Indiranagar,13.1961,77.6458,Other,20.0,Female,43.0,Gun,Major,Partly Cloudy,18.0,
11/7/2020,7:48:10,Embezzlement,JP Nagar,12.9991,77.5728,Male,54.0,Female,60.0,,Minor,Clear,26.0,Fraud
9/13/2020,10:33:18,Burglary,Jayanagar,13.1772,77.6618,Female,29.0,Female,24.0,Blunt Object,Minor,Overcast,1.0,Vandalism
9/27/2021,22:47:55,Robbery,Bellandur,13.1592,77.7385,Other,32.0,Female,23.0,Knife,,Overcast,9.0,Fraud
5/21/2022,18:45:22,Embezzlement,Electronic City,12.8833,77.4698,Female,40.0,Other,39.0,,,Overcast,15.0,Theft
4/24/2019,12:21:27,Vandalism,Jayanagar,13.1626,77.5712,Other,25.0,Other,54.0,,,Rain,38.0,Theft
9/9/2019,12:20:43,Fraud,Whitefield,13.1341,77.7839,Male,20.0,Other,57.0,Knife,Minor,Overcast,2.0,Burglary
11/18/2019,0:03:57,Robbery,Bellandur,13.0913,77.735,Male,42.0,Female,60.0,Blunt Object,Minor,Partly Cloudy,16.0,
1/9/2019,9:33:24,Forgery,JP Nagar,13.0024,77.7754,Female,19.0,Other,54.0,Knife,Fatal,Clear,15.0,Burglary
3/5/2018,7:04:55,Embezzlement,Indiranagar,13.0936,77.5392,Male,59.0,Female,48.0,,Major,Overcast,12.0,Fraud
10/15/2018,6:32:58,Fraud,Bellandur,13.0257,77.4859,Other,26.0,Male,31.0,Blunt Object,,Partly Cloudy,28.0,Drug Offense
3/29/2019,20:31:48,Burglary,Electronic City,12.9879,77.5602,Female,28.0,Female,55.0,Gun,Minor,Snow,18.0,Burglary
9/22/2020,9:28:26,Drug Offense,Indiranagar,13.1025,77.6433,Male,58.0,Male,38.0,Gun,Fatal,Clear,27.0,Vandalism
1/8/2018,2:36:41,Forgery,Indiranagar,13.1228,77.557,Male,48.0,Female,31.0,,Major,Overcast,3.0,Embezzlement
